"REF_DATE","GEO","DGUID","Selected characteristic","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Ontario","2016A000235","Household income, second quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111675148","7.2.15.1","366500","","","","0"
"2017","Ontario","2016A000235","Household income, second quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111675148","7.2.15.1","361200","","","","0"
"2018","Ontario","2016A000235","Household income, second quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111675148","7.2.15.1","415700","","","","0"
"2019","Ontario","2016A000235","Household income, second quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111675148","7.2.15.1","361700","","","","0"
"2015","Ontario","2016A000235","Household income, second quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111675151","7.2.15.4","17.0","","","","1"
"2016","Ontario","2016A000235","Household income, second quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111675151","7.2.15.4","16.0","","","","1"
"2017","Ontario","2016A000235","Household income, second quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111675151","7.2.15.4","15.9","","","","1"
"2018","Ontario","2016A000235","Household income, second quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111675151","7.2.15.4","17.1","","","","1"
"2019","Ontario","2016A000235","Household income, second quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111675151","7.2.15.4","14.5","","","","1"
"2015","Ontario","2016A000235","Household income, second quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111675155","7.2.16.1","273200","","","","0"
"2016","Ontario","2016A000235","Household income, second quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111675155","7.2.16.1","281500","","","","0"
"2017","Ontario","2016A000235","Household income, second quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111675155","7.2.16.1","288400","","","","0"
"2018","Ontario","2016A000235","Household income, second quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111675155","7.2.16.1","309400","","","","0"
"2019","Ontario","2016A000235","Household income, second quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111675155","7.2.16.1","248500","","","","0"
"2015","Ontario","2016A000235","Household income, second quintile","Current smoker, daily","Percent","Percent","239","units","0","v111675158","7.2.16.4","11.7","","","","1"
"2016","Ontario","2016A000235","Household income, second quintile","Current smoker, daily","Percent","Percent","239","units","0","v111675158","7.2.16.4","12.3","","","","1"
"2017","Ontario","2016A000235","Household income, second quintile","Current smoker, daily","Percent","Percent","239","units","0","v111675158","7.2.16.4","12.7","","","","1"
"2018","Ontario","2016A000235","Household income, second quintile","Current smoker, daily","Percent","Percent","239","units","0","v111675158","7.2.16.4","12.8","","","","1"
"2019","Ontario","2016A000235","Household income, second quintile","Current smoker, daily","Percent","Percent","239","units","0","v111675158","7.2.16.4","9.9","","","","1"
"2015","Ontario","2016A000235","Household income, third quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111675330","7.3.15.1","402200","","","","0"
"2016","Ontario","2016A000235","Household income, third quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111675330","7.3.15.1","361200","","","","0"
"2017","Ontario","2016A000235","Household income, third quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111675330","7.3.15.1","376000","","","","0"
"2018","Ontario","2016A000235","Household income, third quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111675330","7.3.15.1","365600","","","","0"
"2019","Ontario","2016A000235","Household income, third quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111675330","7.3.15.1","327700","","","","0"
"2015","Ontario","2016A000235","Household income, third quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111675333","7.3.15.4","17.2","","","","1"
"2016","Ontario","2016A000235","Household income, third quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111675333","7.3.15.4","15.4","","","","1"
"2017","Ontario","2016A000235","Household income, third quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111675333","7.3.15.4","16.0","","","","1"
"2018","Ontario","2016A000235","Household income, third quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111675333","7.3.15.4","14.7","","","","1"
"2019","Ontario","2016A000235","Household income, third quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111675333","7.3.15.4","13.0","","","","1"
"2015","Ontario","2016A000235","Household income, third quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111675337","7.3.16.1","272700","","","","0"
"2016","Ontario","2016A000235","Household income, third quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111675337","7.3.16.1","265000","","","","0"
"2017","Ontario","2016A000235","Household income, third quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111675337","7.3.16.1","263500","","","","0"
"2018","Ontario","2016A000235","Household income, third quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111675337","7.3.16.1","267300","","","","0"
"2019","Ontario","2016A000235","Household income, third quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111675337","7.3.16.1","220200","","","","0"
"2015","Ontario","2016A000235","Household income, third quintile","Current smoker, daily","Percent","Percent","239","units","0","v111675340","7.3.16.4","11.7","","","","1"
"2016","Ontario","2016A000235","Household income, third quintile","Current smoker, daily","Percent","Percent","239","units","0","v111675340","7.3.16.4","11.3","","","","1"
"2017","Ontario","2016A000235","Household income, third quintile","Current smoker, daily","Percent","Percent","239","units","0","v111675340","7.3.16.4","11.2","","","","1"
"2018","Ontario","2016A000235","Household income, third quintile","Current smoker, daily","Percent","Percent","239","units","0","v111675340","7.3.16.4","10.7","","","","1"
"2019","Ontario","2016A000235","Household income, third quintile","Current smoker, daily","Percent","Percent","239","units","0","v111675340","7.3.16.4","8.8","","","","1"
"2015","Ontario","2016A000235","Household income, fourth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111675512","7.4.15.1","331700","","","","0"
"2016","Ontario","2016A000235","Household income, fourth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111675512","7.4.15.1","335400","","","","0"
"2017","Ontario","2016A000235","Household income, fourth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111675512","7.4.15.1","317300","","","","0"
"2018","Ontario","2016A000235","Household income, fourth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111675512","7.4.15.1","315600","","","","0"
"2019","Ontario","2016A000235","Household income, fourth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111675512","7.4.15.1","349800","","","","0"
"2015","Ontario","2016A000235","Household income, fourth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111675515","7.4.15.4","14.4","","","","1"
"2016","Ontario","2016A000235","Household income, fourth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111675515","7.4.15.4","14.1","","","","1"
"2017","Ontario","2016A000235","Household income, fourth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111675515","7.4.15.4","13.5","","","","1"
"2018","Ontario","2016A000235","Household income, fourth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111675515","7.4.15.4","13.0","","","","1"
"2019","Ontario","2016A000235","Household income, fourth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111675515","7.4.15.4","14.0","","","","1"
"2015","Ontario","2016A000235","Household income, fourth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111675519","7.4.16.1","210300","","","","0"
"2016","Ontario","2016A000235","Household income, fourth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111675519","7.4.16.1","232900","","","","0"
"2017","Ontario","2016A000235","Household income, fourth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111675519","7.4.16.1","230300","","","","0"
"2018","Ontario","2016A000235","Household income, fourth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111675519","7.4.16.1","198000","","","","0"
"2019","Ontario","2016A000235","Household income, fourth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111675519","7.4.16.1","230000","","","","0"
"2015","Ontario","2016A000235","Household income, fourth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111675522","7.4.16.4","9.2","","","","1"
"2016","Ontario","2016A000235","Household income, fourth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111675522","7.4.16.4","9.8","","","","1"
"2017","Ontario","2016A000235","Household income, fourth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111675522","7.4.16.4","9.8","","","","1"
"2018","Ontario","2016A000235","Household income, fourth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111675522","7.4.16.4","8.2","","","","1"
"2019","Ontario","2016A000235","Household income, fourth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111675522","7.4.16.4","9.2","","","","1"
"2015","Ontario","2016A000235","Household income, fifth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111675694","7.5.15.1","324700","","","","0"
"2016","Ontario","2016A000235","Household income, fifth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111675694","7.5.15.1","266300","","","","0"
"2017","Ontario","2016A000235","Household income, fifth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111675694","7.5.15.1","281900","","","","0"
"2018","Ontario","2016A000235","Household income, fifth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111675694","7.5.15.1","298500","","","","0"
"2019","Ontario","2016A000235","Household income, fifth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111675694","7.5.15.1","240300","","","","0"
"2015","Ontario","2016A000235","Household income, fifth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111675697","7.5.15.4","14.4","","","","1"
"2016","Ontario","2016A000235","Household income, fifth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111675697","7.5.15.4","11.2","","","","1"
"2017","Ontario","2016A000235","Household income, fifth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111675697","7.5.15.4","10.9","","","","1"
"2018","Ontario","2016A000235","Household income, fifth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111675697","7.5.15.4","11.9","","","","1"
"2019","Ontario","2016A000235","Household income, fifth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111675697","7.5.15.4","9.3","","","","1"
"2015","Ontario","2016A000235","Household income, fifth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111675701","7.5.16.1","198300","","","","0"
"2016","Ontario","2016A000235","Household income, fifth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111675701","7.5.16.1","156400","","","","0"
"2017","Ontario","2016A000235","Household income, fifth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111675701","7.5.16.1","181400","","","","0"
"2018","Ontario","2016A000235","Household income, fifth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111675701","7.5.16.1","171800","","","","0"
"2019","Ontario","2016A000235","Household income, fifth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111675701","7.5.16.1","156100","","","","0"
"2015","Ontario","2016A000235","Household income, fifth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111675704","7.5.16.4","8.8","","","","1"
"2016","Ontario","2016A000235","Household income, fifth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111675704","7.5.16.4","6.6","","","","1"
"2017","Ontario","2016A000235","Household income, fifth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111675704","7.5.16.4","7.0","","","","1"
"2018","Ontario","2016A000235","Household income, fifth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111675704","7.5.16.4","6.8","","","","1"
"2019","Ontario","2016A000235","Household income, fifth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111675704","7.5.16.4","6.1","","","","1"
"2015","Ontario","2016A000235","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111675876","7.6.15.1","126600","","","","0"
"2016","Ontario","2016A000235","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111675876","7.6.15.1","136800","","","","0"
"2017","Ontario","2016A000235","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111675876","7.6.15.1","136500","","","","0"
"2018","Ontario","2016A000235","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111675876","7.6.15.1","114900","","","","0"
"2019","Ontario","2016A000235","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111675876","7.6.15.1","109000","","","","0"
"2015","Ontario","2016A000235","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111675879","7.6.15.4","24.8","","","","1"
"2016","Ontario","2016A000235","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111675879","7.6.15.4","25.2","","","","1"
"2017","Ontario","2016A000235","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111675879","7.6.15.4","25.8","","","","1"
"2018","Ontario","2016A000235","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111675879","7.6.15.4","22.0","","","","1"
"2019","Ontario","2016A000235","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111675879","7.6.15.4","21.4","","","","1"
"2015","Ontario","2016A000235","Highest level of education, less than secondary school graduation","Current smoker, daily","Number of persons","Number","223","units","0","v111675883","7.6.16.1","114200","","","","0"
"2016","Ontario","2016A000235","Highest level of education, less than secondary school graduation","Current smoker, daily","Number of persons","Number","223","units","0","v111675883","7.6.16.1","117100","","","","0"
"2017","Ontario","2016A000235","Highest level of education, less than secondary school graduation","Current smoker, daily","Number of persons","Number","223","units","0","v111675883","7.6.16.1","119100","","","","0"
"2018","Ontario","2016A000235","Highest level of education, less than secondary school graduation","Current smoker, daily","Number of persons","Number","223","units","0","v111675883","7.6.16.1","101700","","","","0"
"2019","Ontario","2016A000235","Highest level of education, less than secondary school graduation","Current smoker, daily","Number of persons","Number","223","units","0","v111675883","7.6.16.1","97700","","","","0"
"2015","Ontario","2016A000235","Highest level of education, less than secondary school graduation","Current smoker, daily","Percent","Percent","239","units","0","v111675886","7.6.16.4","22.4","","","","1"
"2016","Ontario","2016A000235","Highest level of education, less than secondary school graduation","Current smoker, daily","Percent","Percent","239","units","0","v111675886","7.6.16.4","21.5","","","","1"
"2017","Ontario","2016A000235","Highest level of education, less than secondary school graduation","Current smoker, daily","Percent","Percent","239","units","0","v111675886","7.6.16.4","22.5","","","","1"
"2018","Ontario","2016A000235","Highest level of education, less than secondary school graduation","Current smoker, daily","Percent","Percent","239","units","0","v111675886","7.6.16.4","19.4","","","","1"
"2019","Ontario","2016A000235","Highest level of education, less than secondary school graduation","Current smoker, daily","Percent","Percent","239","units","0","v111675886","7.6.16.4","19.2","","","","1"
"2015","Ontario","2016A000235","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111676058","7.7.15.1","405000","","","","0"
"2016","Ontario","2016A000235","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111676058","7.7.15.1","396400","","","","0"
"2017","Ontario","2016A000235","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111676058","7.7.15.1","382100","","","","0"
"2018","Ontario","2016A000235","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111676058","7.7.15.1","372700","","","","0"
"2019","Ontario","2016A000235","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111676058","7.7.15.1","342800","","","","0"
"2015","Ontario","2016A000235","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111676061","7.7.15.4","26.5","","","","1"
"2016","Ontario","2016A000235","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111676061","7.7.15.4","24.4","","","","1"
"2017","Ontario","2016A000235","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111676061","7.7.15.4","24.2","","","","1"
"2018","Ontario","2016A000235","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111676061","7.7.15.4","24.3","","","","1"
"2019","Ontario","2016A000235","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111676061","7.7.15.4","22.3","","","","1"
"2015","Ontario","2016A000235","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily","Number of persons","Number","223","units","0","v111676065","7.7.16.1","303300","","","","0"
"2016","Ontario","2016A000235","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily","Number of persons","Number","223","units","0","v111676065","7.7.16.1","338500","","","","0"
"2017","Ontario","2016A000235","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily","Number of persons","Number","223","units","0","v111676065","7.7.16.1","306900","","","","0"
"2018","Ontario","2016A000235","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily","Number of persons","Number","223","units","0","v111676065","7.7.16.1","283700","","","","0"
"2019","Ontario","2016A000235","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily","Number of persons","Number","223","units","0","v111676065","7.7.16.1","259100","","","","0"
"2015","Ontario","2016A000235","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily","Percent","Percent","239","units","0","v111676068","7.7.16.4","19.9","","","","1"
"2016","Ontario","2016A000235","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily","Percent","Percent","239","units","0","v111676068","7.7.16.4","20.9","","","","1"
"2017","Ontario","2016A000235","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily","Percent","Percent","239","units","0","v111676068","7.7.16.4","19.5","","","","1"
"2018","Ontario","2016A000235","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily","Percent","Percent","239","units","0","v111676068","7.7.16.4","18.5","","","","1"
"2019","Ontario","2016A000235","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily","Percent","Percent","239","units","0","v111676068","7.7.16.4","16.9","","","","1"
"2015","Ontario","2016A000235","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111676240","7.8.15.1","1372500","","","","0"
"2016","Ontario","2016A000235","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111676240","7.8.15.1","1283500","","","","0"
"2017","Ontario","2016A000235","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111676240","7.8.15.1","1237200","","","","0"
"2018","Ontario","2016A000235","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111676240","7.8.15.1","1287100","","","","0"
"2019","Ontario","2016A000235","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111676240","7.8.15.1","1188200","","","","0"
"2015","Ontario","2016A000235","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111676243","7.8.15.4","15.1","","","","1"
"2016","Ontario","2016A000235","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111676243","7.8.15.4","14.0","","","","1"
"2017","Ontario","2016A000235","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111676243","7.8.15.4","13.2","","","","1"
"2018","Ontario","2016A000235","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111676243","7.8.15.4","13.3","","","","1"
"2019","Ontario","2016A000235","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111676243","7.8.15.4","12.0","","","","1"
"2015","Ontario","2016A000235","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Number of persons","Number","223","units","0","v111676247","7.8.16.1","891500","","","","0"
"2016","Ontario","2016A000235","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Number of persons","Number","223","units","0","v111676247","7.8.16.1","858600","","","","0"
"2017","Ontario","2016A000235","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Number of persons","Number","223","units","0","v111676247","7.8.16.1","884300","","","","0"
"2018","Ontario","2016A000235","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Number of persons","Number","223","units","0","v111676247","7.8.16.1","828800","","","","0"
"2019","Ontario","2016A000235","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Number of persons","Number","223","units","0","v111676247","7.8.16.1","756900","","","","0"
"2015","Ontario","2016A000235","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Percent","Percent","239","units","0","v111676250","7.8.16.4","9.8","","","","1"
"2016","Ontario","2016A000235","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Percent","Percent","239","units","0","v111676250","7.8.16.4","9.3","","","","1"
"2017","Ontario","2016A000235","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Percent","Percent","239","units","0","v111676250","7.8.16.4","9.5","","","","1"
"2018","Ontario","2016A000235","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Percent","Percent","239","units","0","v111676250","7.8.16.4","8.6","","","","1"
"2019","Ontario","2016A000235","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Percent","Percent","239","units","0","v111676250","7.8.16.4","7.6","","","","1"
"2015","Manitoba","2016A000246","Household income, first quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111676422","8.1.15.1","51600","","","","0"
"2016","Manitoba","2016A000246","Household income, first quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111676422","8.1.15.1","52700","","","","0"
"2017","Manitoba","2016A000246","Household income, first quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111676422","8.1.15.1","55900","","","","0"
"2018","Manitoba","2016A000246","Household income, first quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111676422","8.1.15.1","52300","","","","0"
"2019","Manitoba","2016A000246","Household income, first quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111676422","8.1.15.1","45800","E","","","0"
"2015","Manitoba","2016A000246","Household income, first quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111676425","8.1.15.4","25.8","","","","1"
"2016","Manitoba","2016A000246","Household income, first quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111676425","8.1.15.4","28.3","","","","1"
"2017","Manitoba","2016A000246","Household income, first quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111676425","8.1.15.4","24.7","","","","1"
"2018","Manitoba","2016A000246","Household income, first quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111676425","8.1.15.4","22.8","","","","1"
"2019","Manitoba","2016A000246","Household income, first quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111676425","8.1.15.4","21.9","","","","1"
"2015","Manitoba","2016A000246","Household income, first quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111676429","8.1.16.1","34700","E","","","0"
"2016","Manitoba","2016A000246","Household income, first quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111676429","8.1.16.1","39800","","","","0"
"2017","Manitoba","2016A000246","Household income, first quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111676429","8.1.16.1","42500","","","","0"
"2018","Manitoba","2016A000246","Household income, first quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111676429","8.1.16.1","38400","E","","","0"
"2019","Manitoba","2016A000246","Household income, first quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111676429","8.1.16.1","33800","E","","","0"
"2015","Manitoba","2016A000246","Household income, first quintile","Current smoker, daily","Percent","Percent","239","units","0","v111676432","8.1.16.4","17.4","","","","1"
"2016","Manitoba","2016A000246","Household income, first quintile","Current smoker, daily","Percent","Percent","239","units","0","v111676432","8.1.16.4","21.4","","","","1"
"2017","Manitoba","2016A000246","Household income, first quintile","Current smoker, daily","Percent","Percent","239","units","0","v111676432","8.1.16.4","18.8","","","","1"
"2018","Manitoba","2016A000246","Household income, first quintile","Current smoker, daily","Percent","Percent","239","units","0","v111676432","8.1.16.4","16.7","","","","1"
"2019","Manitoba","2016A000246","Household income, first quintile","Current smoker, daily","Percent","Percent","239","units","0","v111676432","8.1.16.4","16.2","E","","","1"
"2015","Manitoba","2016A000246","Household income, second quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111676604","8.2.15.1","40600","","","","0"
"2016","Manitoba","2016A000246","Household income, second quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111676604","8.2.15.1","41200","","","","0"
"2017","Manitoba","2016A000246","Household income, second quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111676604","8.2.15.1","40500","E","","","0"
"2018","Manitoba","2016A000246","Household income, second quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111676604","8.2.15.1","38900","","","","0"
"2019","Manitoba","2016A000246","Household income, second quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111676604","8.2.15.1","39000","E","","","0"
"2015","Manitoba","2016A000246","Household income, second quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111676607","8.2.15.4","17.8","","","","1"
"2016","Manitoba","2016A000246","Household income, second quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111676607","8.2.15.4","17.5","","","","1"
"2017","Manitoba","2016A000246","Household income, second quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111676607","8.2.15.4","16.5","","","","1"
"2018","Manitoba","2016A000246","Household income, second quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111676607","8.2.15.4","17.7","","","","1"
"2019","Manitoba","2016A000246","Household income, second quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111676607","8.2.15.4","14.6","","","","1"
"2015","Manitoba","2016A000246","Household income, second quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111676611","8.2.16.1","28400","E","","","0"
"2016","Manitoba","2016A000246","Household income, second quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111676611","8.2.16.1","32700","E","","","0"
"2017","Manitoba","2016A000246","Household income, second quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111676611","8.2.16.1","28600","E","","","0"
"2018","Manitoba","2016A000246","Household income, second quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111676611","8.2.16.1","28400","E","","","0"
"2019","Manitoba","2016A000246","Household income, second quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111676611","8.2.16.1","25100","E","","","0"
"2015","Manitoba","2016A000246","Household income, second quintile","Current smoker, daily","Percent","Percent","239","units","0","v111676614","8.2.16.4","12.5","E","","","1"
"2016","Manitoba","2016A000246","Household income, second quintile","Current smoker, daily","Percent","Percent","239","units","0","v111676614","8.2.16.4","13.9","","","","1"
"2017","Manitoba","2016A000246","Household income, second quintile","Current smoker, daily","Percent","Percent","239","units","0","v111676614","8.2.16.4","11.7","E","","","1"
"2018","Manitoba","2016A000246","Household income, second quintile","Current smoker, daily","Percent","Percent","239","units","0","v111676614","8.2.16.4","12.9","E","","","1"
"2019","Manitoba","2016A000246","Household income, second quintile","Current smoker, daily","Percent","Percent","239","units","0","v111676614","8.2.16.4","9.4","E","","","1"
"2015","Manitoba","2016A000246","Household income, third quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111676786","8.3.15.1","37200","","","","0"
